iter	Passed	Remaining
0	25	5066
1	49	4943
2	74	4911
3	96	4745
4	121	4730
5	142	4614
6	166	4593
7	188	4530
8	211	4490
9	235	4479
10	258	4435
11	284	4459
12	307	4422
13	329	4382
14	354	4373
15	376	4333
16	402	4332
17	429	4346
18	452	4313
19	475	4280
20	498	4248
21	524	4245
22	550	4232
23	572	4195
24	596	4173
25	620	4155
26	644	4129
27	668	4107
28	695	4100
29	722	4092
30	745	4064
31	773	4061
32	796	4033
33	823	4019
34	847	3995
35	870	3964
36	893	3935
37	917	3909
38	941	3886
39	966	3866
40	993	3852
41	1017	3828
42	1039	3796
43	1066	3779
44	1089	3753
45	1112	3724
46	1137	3703
47	1159	3673
48	1185	3652
49	1210	3632
50	1232	3600
51	1259	3583
52	1284	3563
53	1307	3535
54	1331	3509
55	1354	3482
56	1377	3456
57	1403	3436
58	1425	3407
59	1446	3376
60	1468	3347
61	1492	3322
62	1516	3297
63	1544	3282
64	1569	3260
65	1592	3233
66	1616	3209
67	1640	3183
68	1666	3163
69	1689	3137
70	1711	3110
71	1735	3085
72	1764	3068
73	1791	3050
74	1815	3026
75	1841	3004
76	1869	2986
77	1894	2963
78	1917	2937
79	1938	2908
80	1967	2890
81	1993	2868
82	2016	2841
83	2040	2818
84	2067	2797
85	2093	2775
86	2128	2764
87	2152	2740
88	2177	2715
89	2202	2692
90	2228	2669
91	2251	2642
92	2277	2620
93	2299	2593
94	2323	2567
95	2347	2543
96	2373	2519
97	2395	2493
98	2418	2467
99	2442	2442
100	2466	2417
101	2492	2394
102	2521	2374
103	2550	2354
104	2582	2336
105	2606	2311
106	2635	2290
107	2658	2264
108	2680	2238
109	2703	2212
110	2728	2187
111	2758	2167
112	2790	2148
113	2814	2123
114	2865	2117
115	2892	2094
116	2920	2071
117	2942	2044
118	2966	2019
119	2994	1996
120	3018	1970
121	3042	1945
122	3070	1921
123	3093	1896
124	3119	1871
125	3142	1845
126	3163	1818
127	3187	1792
128	3212	1768
129	3239	1744
130	3266	1720
131	3293	1696
132	3320	1672
133	3345	1647
134	3370	1622
135	3401	1600
136	3427	1576
137	3455	1552
138	3477	1526
139	3502	1501
140	3526	1475
141	3550	1450
142	3577	1426
143	3602	1401
144	3627	1375
145	3655	1351
146	3682	1327
147	3708	1302
148	3737	1279
149	3765	1255
150	3790	1229
151	3815	1204
152	3836	1178
153	3859	1152
154	3887	1128
155	3913	1103
156	3937	1078
157	3963	1053
158	3991	1029
159	4014	1003
160	4037	977
161	4058	951
162	4084	927
163	4116	903
164	4144	879
165	4168	853
166	4197	829
167	4229	805
168	4256	780
169	4283	755
170	4312	731
171	4339	706
172	4364	681
173	4387	655
174	4410	630
175	4440	605
176	4470	580
177	4496	555
178	4520	530
179	4544	504
180	4571	479
181	4595	454
182	4620	429
183	4643	403
184	4671	378
185	4696	353
186	4722	328
187	4749	303
188	4780	278
189	4805	252
190	4826	227
191	4851	202
192	4876	176
193	4898	151
194	4928	126
195	4950	101
196	4978	75
197	5002	50
198	5032	25
199	5056	0
